Metric,Correlation,Abs_Correlation,P_Value,Significant
OPP_W,0.9999999999999999,0.9999999999999999,0.0,True
OPP_L,-0.9999999999999999,0.9999999999999999,0.0,True
OPP_W_PCT,0.9999974753399744,0.9999974753399744,1.046497458869346e-75,True
W_PCT_RANK,-0.983972577881886,0.983972577881886,1.6391464818853552e-22,True
OPP_W_PCT_RANK,-0.983972577881886,0.983972577881886,1.6391464818853552e-22,True
OPP_L_RANK,-0.983972577881886,0.983972577881886,1.6391464818853552e-22,True
OPP_W_RANK,-0.983972577881886,0.983972577881886,1.6391464818853552e-22,True
W_RANK,-0.983972577881886,0.983972577881886,1.6391464818853552e-22,True
L_RANK,-0.983972577881886,0.983972577881886,1.6391464818853552e-22,True
NRtg,0.9805779718176082,0.9805779718176082,2.3639380029076573e-21,True
PLUS_MINUS,0.979965367595668,0.979965367595668,3.6376678787238255e-21,True
OPP_PLUS_MINUS,-0.979965367595668,0.979965367595668,3.6376678787238255e-21,True
OPP_PLUS_MINUS_RANK,-0.9632312850199679,0.9632312850199679,1.6141091572023224e-17,True
PLUS_MINUS_RANK,-0.9632312850199679,0.9632312850199679,1.6141091572023224e-17,True
PIE,0.9292102874962793,0.9292102874962793,1.2560410954566885e-13,True
ORtg,0.8545972479196469,0.8545972479196469,1.8579478770693759e-09,True
EFG_PCT_FF,0.7818643787885252,0.7818643787885252,3.364961824182315e-07,True
eFG%,0.7818643787885252,0.7818643787885252,3.364961824182315e-07,True
DRtg,-0.7734882052355336,0.7734882052355336,5.390615660921919e-07,True
TS%,0.7571030468176486,0.7571030468176486,1.2828666514584901e-06,True
OPP_OPP_FG_PCT,-0.7130781072233009,0.7130781072233009,9.76891329952198e-06,True
OPP_OPP_FG_PCT_RANK,-0.6968610378440605,0.6968610378440605,1.884214640079544e-05,True
PTS,0.6607211955050365,0.6607211955050365,7.068260197768097e-05,True
FG3_PCT_RANK,-0.6265236620616694,0.6265236620616694,0.00021217070081116084,True
OPP_OPP_FG3_PCT_RANK,-0.622616030073759,0.622616030073759,0.00023860713904415287,True
REB_PCT,0.61948758945851,0.61948758945851,0.0002618330717705098,True
OPP_OPP_FG3_PCT,-0.6148071118943367,0.6148071118943367,0.0003003204018735629,True
FG%,0.610832746305261,0.610832746305261,0.0003368424671860656,True
PTS_RANK,-0.6076367741201015,0.6076367741201015,0.00036900166090717755,True
FG_PCT_RANK,-0.5819115301996899,0.5819115301996899,0.0007430882312635307,True
AST_TO,0.5795428951941759,0.5795428951941759,0.00079027083908746,True
DREB,0.5745178370479664,0.5745178370479664,0.0008991435601220513,True
DREB_RANK,-0.5721424502299135,0.5721424502299135,0.0009550256779943858,True
OPP_OPP_FGM_RANK,-0.568234818242003,0.568234818242003,0.001053575255970944,True
OPP_OPP_AST,-0.5501341629959462,0.5501341629959462,0.0016350934505494255,True
OPP_OPP_DREB,-0.5454598192165416,0.5454598192165416,0.001824378424179917,True
3P%,0.5418598753532113,0.5418598753532113,0.0019828459522952878,True
OPP_OPP_PTS,-0.5402323747774135,0.5402323747774135,0.0020583169316241694,True
OPP_OPP_AST_RANK,-0.5323913772430516,0.5323913772430516,0.002457834637878115,True
REB,0.529092126543638,0.529092126543638,0.0026449879484788234,True
OPP_OPP_PTS_RANK,-0.5285072263649115,0.5285072263649115,0.0026794194522544927,True
OPP_OPP_DREB_RANK,-0.5239483223790158,0.5239483223790158,0.0029613030597675644,True
OPP_OPP_REB_RANK,-0.5239483223790157,0.5239483223790157,0.0029613030597675644,True
FGM,0.5225693381585195,0.5225693381585195,0.003051448588635747,True
BLKA_RANK,-0.5212714489263629,0.5212714489263629,0.003138442050031211,True
OPP_OPP_BLK_RANK,-0.5212714489263629,0.5212714489263629,0.003138442050031211,True
FGM_RANK,-0.5197150543921126,0.5197150543921126,0.00324557034977019,True
OPP_OPP_REB,-0.5182048861889503,0.5182048861889503,0.0033525096208945927,True
AST_RATIO,0.5127413566051029,0.5127413566051029,0.0037651027442786303,True
AST,0.4980748705748172,0.4980748705748172,0.005094536492003818,True
BLKA,-0.49764187145742644,0.49764187145742644,0.00513920390564961,True
OPP_OPP_BLK,-0.49764187145742644,0.49764187145742644,0.00513920390564961,True
FG3M,0.4872217233383149,0.4872217233383149,0.006319585216125255,True
REB_RANK,-0.48389509450293194,0.48389509450293194,0.006741889714965692,True
OPP_OPP_FGM,-0.47488089333338124,0.47488089333338124,0.008008452545766053,True
FG3M_RANK,-0.46579172247377315,0.46579172247377315,0.009483738761083887,True
DRB%,0.4561749127999139,0.4561749127999139,0.01128755712306431,True
