Team,SEASON,YEAR,ERA,GP,W,L,WIN_PCT,ORtg,DRtg,NRtg,eFG%,TS%,3PA,3P%,FG3M,Pace,AST%,AST_TO,AST_RATIO,TOV%,ORB%,DRB%,REB_PCT,FTA_RATE,PIE,PTS,FG%,FT%,OPP_OPP_PTS,OPP_OPP_FG_PCT
Sacramento Kings,2024-25,2025,2020s,82,40,42,0.4878048780487805,115.9,115.3,0.6,0.548,0.582,35.2,0.357,12.6,98.91,0.615,1.99,18.8,0.133,0.294,0.728,0.51,0.235,0.502,115.7,0.478,0.806,115.3,0.474
San Antonio Spurs,2024-25,2025,2020s,82,34,48,0.4146341463414634,113.5,116.3,-2.8,0.544,0.575,39.6,0.357,14.1,100.08,0.685,2.06,20.1,0.138,0.278,0.69,0.485,0.234,0.493,113.9,0.465,0.774,116.7,0.474
Toronto Raptors,2024-25,2025,2020s,82,30,52,0.3658536585365853,109.6,113.6,-4.1,0.522,0.553,34.0,0.348,11.8,100.62,0.685,1.86,19.6,0.152,0.311,0.696,0.5,0.232,0.477,110.9,0.458,0.748,115.2,0.466
Utah Jazz,2024-25,2025,2020s,82,17,65,0.2073170731707317,110.2,119.4,-9.2,0.533,0.568,39.8,0.35,14.0,100.85,0.633,1.48,17.9,0.17,0.311,0.705,0.508,0.252,0.45,111.9,0.454,0.774,121.2,0.48
Washington Wizards,2024-25,2025,2020s,82,18,64,0.2195121951219512,105.8,118.0,-12.2,0.512,0.546,39.1,0.335,13.1,101.82,0.637,1.61,17.8,0.152,0.272,0.685,0.476,0.229,0.437,108.0,0.439,0.778,120.4,0.471
Atlanta Hawks,2025-26,2026,2020s,63,32,31,0.5079365079365079,113.9,113.7,0.2,0.55,0.581,39.3,0.368,14.5,102.9,0.705,2.14,20.6,0.138,0.281,0.697,0.488,,0.502,117.6,0.471,0.775,,
Boston Celtics,2025-26,2026,2020s,62,41,21,0.6612903225806451,119.9,111.9,8.0,0.55,0.579,42.4,0.364,15.4,95.27,0.577,1.99,17.9,0.128,0.341,0.7,0.521,,0.532,114.5,0.465,0.796,,
Brooklyn Nets,2025-26,2026,2020s,62,15,47,0.24193548387096775,109.6,118.4,-8.8,0.524,0.561,39.4,0.34,13.4,97.04,0.675,1.64,18.5,0.159,0.298,0.691,0.486,,0.443,106.8,0.445,0.773,,
Charlotte Hornets,2025-26,2026,2020s,63,32,31,0.5079365079365079,117.8,113.8,4.0,0.551,0.589,42.3,0.379,16.0,98.12,0.651,1.7,18.7,0.159,0.354,0.724,0.538,,0.512,116.1,0.461,0.817,,
Chicago Bulls,2025-26,2026,2020s,63,26,37,0.4126984126984127,112.4,116.9,-4.5,0.551,0.583,40.2,0.365,14.7,102.45,0.686,1.9,19.9,0.147,0.275,0.712,0.496,,0.486,115.7,0.469,0.784,,
Cleveland Cavaliers,2025-26,2026,2020s,63,39,24,0.6190476190476191,117.4,113.1,4.3,0.556,0.589,40.3,0.36,14.5,101.05,0.657,1.98,19.6,0.142,0.311,0.684,0.498,,0.521,119.1,0.476,0.778,,
Dallas Mavericks,2025-26,2026,2020s,62,21,41,0.3387096774193548,109.9,113.9,-3.9,0.53,0.565,31.0,0.339,10.5,102.5,0.593,1.68,17.5,0.143,0.278,0.702,0.495,,0.484,113.4,0.471,0.741,,
Denver Nuggets,2025-26,2026,2020s,63,39,24,0.6190476190476191,120.3,115.9,4.4,0.572,0.612,35.1,0.392,13.7,98.99,0.653,2.15,19.8,0.13,0.286,0.711,0.508,,0.527,120.5,0.493,0.808,,
Detroit Pistons,2025-26,2026,2020s,61,45,16,0.7377049180327869,116.3,108.4,7.9,0.539,0.576,31.5,0.344,10.8,100.36,0.62,1.75,18.4,0.151,0.357,0.693,0.526,,0.547,117.2,0.479,0.756,,
Golden State Warriors,2025-26,2026,2020s,62,32,30,0.5161290322580645,114.2,112.9,1.3,0.552,0.586,45.4,0.36,16.3,100.66,0.71,1.88,20.1,0.154,0.297,0.686,0.489,,0.502,115.3,0.461,0.806,,
Houston Rockets,2025-26,2026,2020s,61,38,23,0.6229508196721312,117.0,111.7,5.3,0.538,0.572,30.9,0.369,11.4,96.77,0.581,1.59,17.4,0.159,0.395,0.696,0.546,,0.532,114.7,0.475,0.761,,
Indiana Pacers,2025-26,2026,2020s,62,15,47,0.2419354838709677,108.6,116.8,-8.2,0.523,0.559,37.2,0.348,12.9,101.97,0.656,1.81,18.5,0.142,0.266,0.7,0.477,,0.457,111.3,0.45,0.769,,
LA Clippers,2025-26,2026,2020s,61,30,31,0.4918032786885246,115.5,115.1,0.4,0.555,0.6,33.9,0.361,12.3,96.86,0.592,1.58,17.6,0.153,0.286,0.686,0.496,,0.505,112.4,0.481,0.832,,
Los Angeles Lakers,2025-26,2026,2020s,62,37,25,0.5967741935483871,116.3,116.0,0.3,0.569,0.607,33.5,0.356,11.9,99.43,0.609,1.72,18.5,0.149,0.285,0.703,0.5,,0.506,115.8,0.498,0.768,,
Memphis Grizzlies,2025-26,2026,2020s,61,23,38,0.3770491803278688,113.4,115.6,-2.2,0.536,0.573,38.1,0.355,13.5,101.58,0.69,1.9,19.7,0.149,0.311,0.682,0.495,,0.496,115.6,0.461,0.792,,
Miami Heat,2025-26,2026,2020s,63,34,29,0.5396825396825397,114.2,111.3,2.9,0.536,0.573,37.3,0.361,13.5,104.72,0.658,2.03,19.2,0.135,0.296,0.704,0.499,,0.517,119.9,0.464,0.786,,
Milwaukee Bucks,2025-26,2026,2020s,61,26,35,0.4262295081967213,112.7,117.0,-4.3,0.564,0.589,37.8,0.388,14.7,98.41,0.628,1.77,18.9,0.148,0.261,0.696,0.483,,0.475,111.4,0.479,0.74,,
Minnesota Timberwolves,2025-26,2026,2020s,63,40,23,0.6349206349206349,116.5,112.2,4.3,0.564,0.595,37.7,0.374,14.1,101.64,0.614,1.79,18.4,0.144,0.304,0.7,0.505,,0.524,119.1,0.484,0.744,,
New Orleans Pelicans,2025-26,2026,2020s,64,20,44,0.3125,112.5,117.7,-5.2,0.525,0.565,32.6,0.344,11.2,101.27,0.601,1.75,17.6,0.141,0.312,0.673,0.491,,0.476,114.9,0.463,0.786,,
New York Knicks,2025-26,2026,2020s,63,40,23,0.6349206349206349,118.0,111.9,6.2,0.553,0.585,39.4,0.374,14.7,98.51,0.638,1.99,19.1,0.138,0.324,0.715,0.518,,0.529,116.8,0.472,0.783,,
Oklahoma City Thunder,2025-26,2026,2020s,64,49,15,0.765625,116.9,106.0,11.0,0.559,0.598,37.6,0.361,13.6,100.75,0.594,2.01,18.3,0.125,0.26,0.698,0.489,,0.563,118.8,0.482,0.821,,
Orlando Magic,2025-26,2026,2020s,61,33,28,0.5409836065573771,113.6,113.3,0.3,0.528,0.573,33.8,0.345,11.7,100.11,0.645,1.92,18.5,0.136,0.3,0.705,0.499,,0.505,114.8,0.463,0.798,,
Philadelphia 76ers,2025-26,2026,2020s,62,34,28,0.5483870967741935,114.3,114.4,-0.1,0.528,0.572,35.9,0.353,12.7,99.96,0.596,1.79,17.3,0.135,0.309,0.674,0.489,,0.495,115.8,0.458,0.814,,
Phoenix Suns,2025-26,2026,2020s,62,35,27,0.5645161290322581,113.4,112.5,0.9,0.534,0.566,40.6,0.361,14.7,98.34,0.602,1.66,17.6,0.151,0.33,0.674,0.496,,0.494,112.1,0.453,0.791,,
Portland Trail Blazers,2025-26,2026,2020s,63,30,33,0.4761904761904761,112.6,115.6,-3.0,0.53,0.567,42.3,0.337,14.3,102.02,0.606,1.43,17.0,0.169,0.352,0.682,0.513,,0.474,115.3,0.451,0.765,,
Sacramento Kings,2025-26,2026,2020s,64,14,50,0.21875,109.5,120.1,-10.6,0.519,0.556,30.1,0.335,10.1,100.26,0.613,1.74,17.9,0.144,0.296,0.676,0.481,,0.45,110.2,0.462,0.778,,
San Antonio Spurs,2025-26,2026,2020s,62,45,17,0.7258064516129032,116.9,110.0,6.9,0.552,0.589,37.5,0.352,13.2,101.02,0.636,1.95,19.0,0.138,0.3,0.714,0.513,,0.535,118.2,0.478,0.782,,
Toronto Raptors,2025-26,2026,2020s,62,35,27,0.5645161290322581,113.7,112.1,1.7,0.537,0.573,33.1,0.346,11.5,99.25,0.69,2.09,20.2,0.139,0.303,0.69,0.495,,0.514,113.7,0.473,0.786,,
Utah Jazz,2025-26,2026,2020s,63,19,44,0.30158730158730157,113.1,120.6,-7.5,0.537,0.578,37.2,0.346,12.9,102.94,0.702,1.88,19.9,0.151,0.3,0.695,0.494,,0.465,117.6,0.466,0.798,,
Washington Wizards,2025-26,2026,2020s,62,16,46,0.25806451612903225,109.4,120.2,-10.8,0.53,0.562,36.0,0.354,12.8,102.15,0.604,1.62,17.6,0.151,0.29,0.666,0.475,,0.441,112.2,0.459,0.769,,
