Team,SEASON,YEAR,ERA,GP,W,L,WIN_PCT,ORtg,DRtg,NRtg,eFG%,TS%,3PA,3P%,FG3M,Pace,AST%,AST_TO,AST_RATIO,TOV%,ORB%,DRB%,REB_PCT,FTA_RATE,PIE,PTS,FG%,FT%,OPP_OPP_PTS,OPP_OPP_FG_PCT
Chicago Bulls,2023-24,2024,2020s,82,39,43,0.4756097560975609,114.0,115.7,-1.7,0.534,0.568,32.1,0.358,11.5,96.94,0.594,2.04,18.2,0.124,0.291,0.717,0.501,0.236,0.493,112.3,0.47,0.791,113.7,0.473
Cleveland Cavaliers,2023-24,2024,2020s,82,48,34,0.5853658536585366,114.7,112.1,2.5,0.557,0.586,36.8,0.367,13.5,97.62,0.671,2.07,20.2,0.138,0.274,0.721,0.501,0.234,0.519,112.6,0.479,0.765,110.2,0.463
Dallas Mavericks,2023-24,2024,2020s,82,50,32,0.6097560975609756,117.0,114.9,2.1,0.562,0.592,39.5,0.369,14.6,100.6,0.596,2.05,18.5,0.124,0.257,0.711,0.485,0.251,0.506,117.9,0.481,0.758,115.6,0.475
Denver Nuggets,2023-24,2024,2020s,82,57,25,0.6951219512195121,117.8,112.3,5.5,0.562,0.589,31.2,0.374,11.7,97.43,0.669,2.33,20.9,0.13,0.3,0.718,0.515,0.224,0.533,114.9,0.496,0.762,109.6,0.462
Detroit Pistons,2023-24,2024,2020s,82,14,68,0.1707317073170731,109.0,118.0,-9.0,0.526,0.562,31.7,0.348,11.0,100.45,0.623,1.67,18.2,0.151,0.277,0.73,0.499,0.246,0.449,109.9,0.463,0.785,119.0,0.49
Golden State Warriors,2023-24,2024,2020s,82,46,36,0.5609756097560976,116.9,114.5,2.4,0.557,0.586,38.9,0.38,14.8,99.91,0.671,2.05,20.1,0.142,0.315,0.725,0.521,0.219,0.512,117.8,0.477,0.78,115.2,0.466
Houston Rockets,2023-24,2024,2020s,82,41,41,0.5,113.7,112.8,0.9,0.529,0.565,36.1,0.352,12.7,99.59,0.594,1.95,17.7,0.127,0.294,0.722,0.504,0.257,0.501,114.3,0.459,0.773,113.2,0.463
Indiana Pacers,2023-24,2024,2020s,82,47,35,0.573170731707317,120.5,117.6,2.9,0.578,0.606,35.3,0.374,13.2,102.16,0.654,2.38,21.0,0.126,0.284,0.7,0.492,0.222,0.517,123.3,0.507,0.782,120.2,0.496
LA Clippers,2023-24,2024,2020s,82,51,31,0.6219512195121951,117.9,114.6,3.4,0.561,0.599,33.2,0.381,12.6,97.93,0.604,1.95,18.7,0.134,0.283,0.705,0.502,0.256,0.52,115.6,0.489,0.825,112.3,0.468
Los Angeles Lakers,2023-24,2024,2020s,82,47,35,0.573170731707317,115.4,114.8,0.6,0.566,0.601,31.4,0.377,11.8,101.38,0.654,2.04,20.1,0.137,0.244,0.725,0.496,0.276,0.518,118.0,0.499,0.782,117.4,0.474
