Champion_Season,Team,Champion,3PA_MovedToward,3PA_Change,3PA_DistChange,Pace_MovedToward,Pace_Change,Pace_DistChange,ORtg_MovedToward,ORtg_Change,ORtg_DistChange,DRtg_MovedToward,DRtg_Change,DRtg_DistChange,eFG%_MovedToward,eFG%_Change,eFG%_DistChange,TS%_MovedToward,TS%_Change,TS%_DistChange
1996-97,Atlanta Hawks,Chicago Bulls,True,-9.999999999999998,-0.5999999999999961,True,0.5599999999999881,-0.5599999999999881,True,0.09999999999999432,-0.09999999999999432,False,2.200000000000003,1.3999999999999915,False,-0.017000000000000015,0.017000000000000015,False,-0.009000000000000008,0.009000000000000008
1996-97,Boston Celtics,Chicago Bulls,False,-1.0,1.0,True,-1.8799999999999955,-1.8799999999999955,False,-2.1000000000000085,2.1000000000000085,True,-6.599999999999994,-6.599999999999994,False,-0.009999999999999953,0.009999999999999953,False,-0.016000000000000014,0.016000000000000014
1996-97,Charlotte Hornets,Chicago Bulls,False,-5.899999999999999,5.899999999999999,True,1.0899999999999892,-1.0899999999999892,False,-3.5999999999999943,3.5999999999999943,True,-3.799999999999997,-3.799999999999997,False,-0.02300000000000002,0.009000000000000008,True,-0.020000000000000018,-0.010000000000000009
1996-97,Cleveland Cavaliers,Chicago Bulls,False,-5.899999999999999,5.899999999999999,True,7.1200000000000045,-7.1200000000000045,False,-2.4000000000000057,2.4000000000000057,False,-3.299999999999997,3.1000000000000085,False,-0.015000000000000013,0.015000000000000013,False,-0.0020000000000000018,0.0020000000000000018
1996-97,Dallas Mavericks,Chicago Bulls,False,-1.5999999999999996,1.5999999999999996,True,0.8199999999999932,-0.8199999999999932,False,-0.5999999999999943,0.5999999999999943,True,-0.7999999999999972,-0.7999999999999972,False,-0.010999999999999954,0.010999999999999954,False,-0.01100000000000001,0.01100000000000001
1996-97,Denver Nuggets,Chicago Bulls,False,-9.999999999999998,2.400000000000004,True,-2.6099999999999994,-1.730000000000004,False,-5.699999999999989,5.699999999999989,False,0.8999999999999915,0.8999999999999915,False,-0.045999999999999985,0.045999999999999985,False,-0.03400000000000003,0.03400000000000003
1996-97,Detroit Pistons,Chicago Bulls,False,-6.9,4.500000000000002,True,3.6599999999999966,-3.6599999999999966,False,-5.099999999999994,5.099999999999994,True,-0.7999999999999972,-0.7999999999999972,False,-0.040000000000000036,0.038000000000000034,False,-0.031000000000000028,0.017000000000000015
1996-97,Golden State Warriors,Chicago Bulls,False,-8.100000000000001,8.100000000000001,True,-0.269999999999996,-0.269999999999996,False,-11.399999999999991,11.399999999999991,True,-6.799999999999997,-6.799999999999997,False,-0.066,0.066,False,-0.07500000000000001,0.07500000000000001
1996-97,Houston Rockets,Chicago Bulls,True,-2.0,-2.0,True,-0.21000000000000796,-0.21000000000000796,False,-1.5999999999999943,1.5999999999999943,False,4.0,4.0,False,-0.02400000000000002,0.006000000000000005,True,-0.016000000000000014,-0.010000000000000009
1996-97,Indiana Pacers,Chicago Bulls,False,-1.3000000000000007,1.3000000000000007,False,-0.75,0.75,True,2.0999999999999943,-2.0999999999999943,True,-3.4000000000000057,-1.0,True,0.01200000000000001,-0.01200000000000001,True,0.013000000000000012,-0.007000000000000006
1996-97,Los Angeles Clippers,Chicago Bulls,True,1.5999999999999979,-3.552713678800501e-15,False,1.0899999999999892,1.0899999999999892,False,-1.7000000000000028,1.7000000000000028,False,3.3999999999999915,3.3999999999999915,False,-0.0050000000000000044,0.0050000000000000044,False,-0.006000000000000005,0.006000000000000005
