team,rank_on_team,player_name,tier,GP,total_min,PTS,REB,AST,STL,BLK,TOV,composite_score,within_season_pct,potential_score
Oklahoma City Thunder,3,Luguentz Dort,Fringe,71,2073,10.1,4.1,1.6,1.1,0.5,0.7,0.3575,13.6,0.3218
Oklahoma City Thunder,4,Cason Wallace,Fringe,68,1876,8.4,3.4,2.5,1.8,0.5,0.9,0.3767,20.5,0.339
Oklahoma City Thunder,5,Aaron Wiggins,Role Player,76,1744,12.0,3.9,1.8,0.8,0.2,0.9,0.4521,49.9,0.4069
Oklahoma City Thunder,6,Isaiah Joe,Fringe,74,1604,10.2,2.6,1.6,0.6,0.1,0.5,0.3964,29.3,0.3568
Oklahoma City Thunder,7,Isaiah Hartenstein,Star,57,1590,11.2,10.7,3.8,0.8,1.1,1.7,0.6002,92.5,0.5402
Oklahoma City Thunder,8,Kenrich Williams,Role Player,69,1132,6.3,3.5,1.4,0.6,0.1,0.6,0.4324,44.5,0.3892
Oklahoma City Thunder,9,Alex Caruso,Starter,54,1041,7.1,2.9,2.5,1.6,0.6,0.7,0.4807,61.1,0.4326
Oklahoma City Thunder,10,Chet Holmgren,Starter,32,877,15.0,8.0,2.0,0.7,2.2,1.8,0.5792,89.9,0.5213
Orlando Magic,1,Desmond Bane,Starter,69,2205,19.2,6.1,5.3,1.2,0.4,2.4,0.5631,85.6,0.5068
Orlando Magic,2,Franz Wagner,Starter,60,2023,24.1,5.7,4.7,1.2,0.3,2.3,0.5781,89.1,0.5203
Orlando Magic,3,Anthony Black,Role Player,78,1887,9.4,2.9,3.1,1.1,0.6,1.8,0.4157,38.1,0.3741
Orlando Magic,4,Wendell Carter Jr.,Role Player,68,1758,9.1,7.2,2.0,0.8,0.6,1.1,0.454,50.1,0.4086
Orlando Magic,5,Tristan da Silva,Fringe,74,1629,7.2,3.3,1.5,0.4,0.2,0.8,0.3408,8.3,0.3067
Orlando Magic,6,Paolo Banchero,Star,46,1582,25.9,7.5,4.8,0.8,0.6,3.0,0.6098,93.6,0.5488
Orlando Magic,7,Goga Bitadze,Starter,70,1429,7.2,6.6,2.0,0.7,1.4,1.0,0.5385,78.7,0.4847
Orlando Magic,8,Jonathan Isaac,Starter,71,1090,5.4,4.4,0.6,0.9,1.1,0.5,0.4952,67.5,0.4457
Orlando Magic,9,Jalen Suggs,Starter,35,1002,16.2,4.0,3.7,1.5,0.9,2.9,0.5028,70.7,0.4525
Orlando Magic,10,Caleb Houstan,Fringe,58,788,4.1,1.3,0.6,0.4,0.1,0.2,0.2854,1.9,0.2568
Philadelphia 76ers,1,Kelly Oubre Jr.,Role Player,60,2078,15.1,6.1,1.8,1.5,0.5,1.3,0.4109,35.7,0.3698
Philadelphia 76ers,2,Quentin Grimes,Role Player,75,2013,14.6,4.3,3.0,1.0,0.3,1.9,0.4753,59.2,0.4278
Philadelphia 76ers,3,Tyrese Maxey,Starter,52,1960,26.3,3.3,6.1,1.8,0.4,2.4,0.5478,81.3,0.493
Philadelphia 76ers,4,Guerschon Yabusele,Role Player,70,1895,11.0,5.6,2.1,0.8,0.3,1.2,0.4238,41.1,0.3814
Philadelphia 76ers,5,Paul George,Starter,41,1334,16.2,5.3,4.3,1.8,0.5,2.6,0.4918,66.4,0.4426
Philadelphia 76ers,6,Ricky Council IV,Role Player,73,1250,7.3,2.9,1.3,0.4,0.2,0.7,0.4039,31.5,0.3635
Philadelphia 76ers,7,Justin Edwards,Fringe,44,1155,10.1,3.4,1.6,1.0,0.4,1.1,0.358,13.9,0.3222
Philadelphia 76ers,8,Jared Butler,Starter,60,1044,9.0,1.8,3.7,0.7,0.2,1.3,0.5139,72.8,0.4625
Philadelphia 76ers,9,Adem Bona,Role Player,58,905,5.8,4.2,0.5,0.4,1.2,1.1,0.4518,49.6,0.4067
Philadelphia 76ers,10,Eric Gordon,Fringe,39,769,6.8,1.2,1.7,0.7,0.3,0.7,0.3184,4.0,0.2866
Phoenix Suns,1,Devin Booker,Starter,75,2795,25.6,4.1,7.1,0.9,0.2,2.9,0.5498,82.1,0.4948
Phoenix Suns,2,Kevin Durant,Starter,62,2265,26.6,6.0,4.2,0.8,1.2,3.1,0.5602,85.1,0.5042
Phoenix Suns,3,Tyus Jones,Role Player,81,2174,10.2,2.4,5.3,0.9,0.1,1.1,0.4346,45.9,0.3912
Phoenix Suns,4,Royce O'Neale,Role Player,75,1837,9.1,4.7,2.2,0.9,0.4,0.9,0.4201,40.0,0.3781
Phoenix Suns,5,Bradley Beal,Role Player,53,1702,17.0,3.3,3.7,1.1,0.5,1.9,0.4422,47.2,0.398
Phoenix Suns,6,Grayson Allen,Fringe,64,1544,10.6,3.0,2.1,0.8,0.3,1.2,0.3972,29.6,0.3575
Phoenix Suns,7,Ryan Dunn,Fringe,74,1410,6.9,3.6,0.8,0.6,0.5,0.5,0.3827,23.5,0.3444
Phoenix Suns,8,Mason Plumlee,Starter,74,1300,4.5,6.1,1.8,0.4,0.6,0.8,0.4877,64.3,0.439
Phoenix Suns,9,Nick Richards,Starter,57,1256,9.3,8.2,0.9,0.2,1.0,1.4,0.5031,70.9,0.4528
Phoenix Suns,10,Cody Martin,Role Player,53,1173,6.8,4.2,2.0,1.1,0.6,1.0,0.4078,33.1,0.3671
Portland Trail Blazers,1,Toumani Camara,Fringe,78,2548,11.3,5.8,2.2,1.5,0.6,1.4,0.3903,26.1,0.3512
Portland Trail Blazers,2,Anfernee Simons,Role Player,70,2292,19.3,2.7,4.8,0.9,0.1,2.0,0.4602,53.1,0.4142
Portland Trail Blazers,3,Shaedon Sharpe,Role Player,72,2252,18.5,4.5,2.8,0.9,0.2,2.1,0.4546,50.4,0.4091
Portland Trail Blazers,4,Deni Avdija,Starter,72,2161,16.9,7.2,3.9,1.0,0.5,2.7,0.5426,79.2,0.4883
Portland Trail Blazers,5,Scoot Henderson,Role Player,66,1759,12.7,3.0,5.1,1.0,0.2,2.7,0.4673,56.0,0.4206
Portland Trail Blazers,6,Jerami Grant,Fringe,47,1524,14.4,3.5,2.1,0.9,1.0,1.4,0.3787,21.1,0.3408
Portland Trail Blazers,7,Donovan Clingan,Starter,67,1324,6.5,7.9,1.1,0.5,1.6,1.1,0.5477,81.1,0.4929
Portland Trail Blazers,8,Deandre Ayton,Starter,40,1206,14.4,10.2,1.6,0.8,1.0,1.7,0.5229,75.7,0.4706
Portland Trail Blazers,9,Dalano Banton,Role Player,67,1120,8.3,2.0,2.4,0.6,0.5,1.3,0.4713,57.1,0.4242
Portland Trail Blazers,10,Kris Murray,Fringe,69,1040,4.2,2.6,1.0,0.5,0.2,0.6,0.3443,9.1,0.3099
Sacramento Kings,1,DeMar DeRozan,Starter,77,2768,22.2,3.9,4.4,0.8,0.4,1.4,0.4841,62.4,0.4357
Sacramento Kings,2,Keegan Murray,Fringe,76,2610,12.4,6.7,1.4,0.8,0.9,0.8,0.3803,21.6,0.3422
Sacramento Kings,3,Zach LaVine,Starter,74,2603,23.3,4.3,4.2,0.8,0.2,2.8,0.4839,61.9,0.4355
Sacramento Kings,4,Domantas Sabonis,Star,70,2429,19.1,13.9,6.0,0.7,0.4,2.9,0.663,97.3,0.5967
Sacramento Kings,5,Malik Monk,Starter,65,2054,17.2,3.8,5.6,0.9,0.6,2.4,0.5002,69.3,0.4501
Sacramento Kings,6,Keon Ellis,Fringe,80,1948,8.3,2.6,1.5,1.5,0.8,0.9,0.3668,16.3,0.3301
Sacramento Kings,7,Jonas Valančiūnas,Star,81,1524,10.4,7.7,2.0,0.5,0.6,1.5,0.637,95.5,0.5733
Sacramento Kings,8,Trey Lyles,Role Player,69,1350,6.5,4.6,1.2,0.6,0.3,0.6,0.4059,32.3,0.3653
Sacramento Kings,9,Jake LaRavia,Role Player,66,1349,6.9,3.9,2.4,0.9,0.3,1.3,0.4277,42.4,0.385
San Antonio Spurs,1,Chris Paul,Starter,82,2292,8.8,3.6,7.4,1.3,0.3,1.6,0.4983,68.5,0.4485
San Antonio Spurs,2,De'Aaron Fox,Starter,62,2241,23.5,4.8,6.3,1.5,0.4,2.8,0.5564,84.3,0.5007
San Antonio Spurs,3,Harrison Barnes,Fringe,82,2230,12.3,3.8,1.7,0.5,0.2,0.6,0.3788,21.3,0.3409
San Antonio Spurs,4,Stephon Castle,Starter,81,2162,14.7,3.7,4.1,0.9,0.3,2.2,0.4901,65.6,0.4411
San Antonio Spurs,5,Devin Vassell,Role Player,64,1983,16.3,4.0,2.9,1.3,0.5,1.4,0.4499,48.5,0.4049
San Antonio Spurs,6,Julian Champagnie,Fringe,82,1932,9.9,3.9,1.4,0.7,0.4,0.9,0.394,28.0,0.3546
San Antonio Spurs,7,Keldon Johnson,Role Player,77,1838,12.7,4.8,1.6,0.6,0.3,1.0,0.463,54.7,0.4167
San Antonio Spurs,8,Victor Wembanyama,Superstar,46,1527,24.3,11.0,3.7,1.1,3.8,3.2,0.7362,99.2,0.6626
San Antonio Spurs,9,Jeremy Sochan,Starter,54,1364,11.4,6.5,2.4,0.8,0.5,1.6,0.4903,65.9,0.4413
San Antonio Spurs,10,Blake Wesley,Fringe,58,683,3.7,1.1,2.0,0.6,0.1,0.9,0.3887,25.3,0.3499
Toronto Raptors,1,Scottie Barnes,Star,65,2134,19.3,7.7,5.8,1.4,1.0,2.8,0.6106,94.1,0.5496
Toronto Raptors,2,RJ Barrett,Starter,58,1869,21.1,6.3,5.4,0.8,0.3,2.9,0.5719,88.3,0.5147
Toronto Raptors,3,Ochai Agbaji,Fringe,64,1739,10.4,3.8,1.5,0.9,0.5,0.8,0.3644,15.5,0.328
Toronto Raptors,4,Jakob Poeltl,Starter,57,1686,14.5,9.6,2.8,1.2,1.2,1.9,0.5705,87.5,0.5135
Toronto Raptors,5,Gradey Dick,Fringe,54,1587,14.4,3.6,1.8,0.9,0.2,1.5,0.3819,22.7,0.3437
Toronto Raptors,6,Jamal Shead,Role Player,75,1467,7.1,1.5,4.2,0.8,0.1,1.6,0.428,42.9,0.3852
Toronto Raptors,7,Jonathan Mogbo,Role Player,63,1286,6.2,4.9,2.3,0.9,0.5,1.1,0.45,48.8,0.405
Toronto Raptors,8,Ja'Kobe Walter,Fringe,52,1103,8.6,3.1,1.6,0.8,0.2,1.0,0.3845,24.0,0.346
Toronto Raptors,9,Jamison Battle,Fringe,59,1042,7.1,2.7,0.9,0.3,0.2,0.5,0.3568,13.1,0.3211
Toronto Raptors,10,Immanuel Quickley,Starter,33,918,17.1,3.5,5.8,0.7,0.1,1.8,0.5526,83.2,0.4973
Utah Jazz,1,Keyonte George,Role Player,67,2108,16.8,3.8,5.6,0.7,0.1,2.7,0.4757,59.5,0.4282
Utah Jazz,2,Isaiah Collier,Role Player,71,1839,8.7,3.3,6.3,0.9,0.2,2.9,0.4546,50.7,0.4092
Utah Jazz,3,Collin Sexton,Starter,63,1758,18.4,2.7,4.2,0.7,0.1,2.5,0.4919,66.7,0.4427
Utah Jazz,4,Walker Kessler,Starter,58,1740,11.1,12.2,1.7,0.6,2.4,1.5,0.5622,85.3,0.506
Utah Jazz,5,Kyle Filipowski,Starter,72,1522,9.6,6.1,1.9,0.7,0.3,1.4,0.5009,69.9,0.4508
Utah Jazz,6,Lauri Markkanen,Role Player,47,1476,19.0,5.9,1.5,0.7,0.4,1.4,0.4621,54.1,0.4159
Utah Jazz,7,Brice Sensabaugh,Role Player,71,1432,10.9,3.0,1.5,0.6,0.1,1.5,0.4232,40.5,0.3809
Utah Jazz,8,Johnny Juzang,Fringe,64,1270,8.9,2.9,1.1,0.6,0.1,0.6,0.3833,23.7,0.345
Utah Jazz,9,John Collins,Starter,40,1221,18.9,8.2,2.0,1.0,1.0,2.6,0.5446,80.5,0.4901
Utah Jazz,10,Cody Williams,Fringe,50,1060,4.6,2.3,1.2,0.5,0.3,0.9,0.2559,0.5,0.2303
Washington Wizards,1,Bub Carrington,Fringe,82,2458,9.8,4.2,4.4,0.7,0.3,1.7,0.3904,26.4,0.3514
Washington Wizards,2,Jordan Poole,Starter,68,2001,20.5,3.0,4.5,1.3,0.4,3.0,0.5287,76.5,0.4758
Washington Wizards,3,Bilal Coulibaly,Role Player,59,1948,12.3,5.0,3.4,1.3,0.7,2.1,0.4013,30.7,0.3612
Washington Wizards,4,Alex Sarr,Starter,67,1814,13.0,6.5,2.4,0.7,1.5,1.7,0.5083,71.7,0.4575
Washington Wizards,5,Kyshawn George,Fringe,68,1802,8.7,4.2,2.5,1.0,0.7,1.4,0.3875,25.1,0.3487
Washington Wizards,6,Corey Kispert,Fringe,61,1602,11.6,3.0,1.7,0.4,0.2,1.0,0.3529,10.4,0.3176
Washington Wizards,7,Justin Champagnie,Role Player,62,1341,8.8,5.7,1.0,1.0,0.6,0.9,0.4612,53.9,0.4151
Washington Wizards,8,Khris Middleton,Starter,37,843,11.9,3.7,4.1,0.9,0.2,1.5,0.527,76.0,0.4743
Washington Wizards,9,Marcus Smart,Role Player,34,680,9.0,2.1,3.2,1.1,0.3,1.6,0.4557,51.2,0.4101
Washington Wizards,10,AJ Johnson,Fringe,29,638,7.6,2.0,2.6,0.4,0.1,1.2,0.3384,7.2,0.3045
