team,rank_on_team,player_name,tier,GP,total_min,PTS,REB,AST,STL,BLK,TOV,composite_score,within_season_pct,potential_score
Chicago Bulls,1,Coby White,Starter,74,2450,20.4,3.7,4.5,0.9,0.2,2.4,0.4812,61.3,0.4331
Chicago Bulls,2,Nikola Vučević,Star,73,2278,18.5,10.1,3.5,0.8,0.7,1.6,0.6081,93.3,0.5473
Chicago Bulls,3,Josh Giddey,Star,70,2117,14.6,8.1,7.2,1.2,0.6,2.9,0.6241,94.7,0.5617
Chicago Bulls,4,Kevin Huerter,Fringe,69,1679,9.9,3.0,2.3,1.0,0.3,1.0,0.3923,27.2,0.3531
Chicago Bulls,5,Patrick Williams,Fringe,63,1576,9.0,3.8,2.0,0.8,0.5,1.4,0.3703,17.9,0.3333
Chicago Bulls,6,Matas Buzelis,Role Player,80,1511,8.6,3.5,1.0,0.4,0.9,0.9,0.428,42.7,0.3852
Chicago Bulls,7,Ayo Dosunmu,Role Player,46,1394,12.3,3.5,4.5,0.9,0.4,1.5,0.4242,41.6,0.3818
Chicago Bulls,8,Julian Phillips,Fringe,79,1123,4.6,2.1,0.5,0.5,0.3,0.3,0.3326,6.1,0.2993
Chicago Bulls,9,Dalen Terry,Fringe,73,987,4.5,1.7,1.3,0.6,0.2,0.7,0.3669,16.5,0.3303
Chicago Bulls,10,Zach Collins,Starter,64,977,6.4,4.5,1.7,0.5,0.5,0.9,0.5211,74.9,0.469
Cleveland Cavaliers,1,Darius Garland,Starter,75,2301,20.6,2.9,6.7,1.2,0.1,2.5,0.5694,86.9,0.5124
Cleveland Cavaliers,2,Jarrett Allen,Starter,82,2296,13.5,9.7,1.9,0.9,0.9,1.2,0.557,84.8,0.5013
Cleveland Cavaliers,3,Donovan Mitchell,Star,71,2232,24.0,4.5,5.0,1.3,0.2,2.1,0.6002,92.8,0.5402
Cleveland Cavaliers,4,Evan Mobley,Star,71,2167,18.5,9.3,3.2,0.9,1.6,2.0,0.6157,94.4,0.5541
Cleveland Cavaliers,5,De'Andre Hunter,Role Player,64,1740,17.0,4.0,1.4,0.8,0.2,1.3,0.451,49.1,0.4059
Cleveland Cavaliers,6,Sam Merrill,Fringe,71,1401,7.2,2.2,1.5,0.7,0.2,0.5,0.3563,12.8,0.3207
Cleveland Cavaliers,7,Ty Jerome,Starter,70,1392,12.5,2.5,3.4,1.1,0.0,1.3,0.5486,81.6,0.4937
Cleveland Cavaliers,8,Max Strus,Role Player,50,1273,9.4,4.3,3.2,0.5,0.2,1.1,0.4138,37.6,0.3724
Cleveland Cavaliers,9,Javonte Green,Fringe,68,1258,5.1,3.2,0.8,1.0,0.5,0.5,0.3545,11.2,0.3191
Cleveland Cavaliers,10,Dean Wade,Fringe,59,1253,5.4,4.2,1.3,0.7,0.3,0.4,0.3563,12.5,0.3207
Dallas Mavericks,1,Spencer Dinwiddie,Role Player,79,2136,11.0,2.6,4.4,0.9,0.2,1.3,0.4241,41.3,0.3817
Dallas Mavericks,2,Max Christie,Fringe,78,2127,9.6,3.3,1.9,0.8,0.4,1.1,0.3406,8.0,0.3066
Dallas Mavericks,3,Klay Thompson,Role Player,72,1965,14.0,3.4,2.0,0.7,0.4,1.2,0.4105,35.2,0.3694
Dallas Mavericks,4,Naji Marshall,Role Player,69,1919,13.2,4.8,3.0,1.0,0.2,1.6,0.4497,48.3,0.4047
Dallas Mavericks,5,P.J. Washington,Role Player,57,1835,14.7,7.8,2.3,1.1,1.1,2.1,0.4726,58.1,0.4253
Dallas Mavericks,6,Kyrie Irving,Starter,50,1804,24.7,4.8,4.6,1.3,0.5,2.2,0.5353,77.3,0.4818
Dallas Mavericks,7,Anthony Davis,Superstar,51,1705,24.7,11.6,3.5,1.2,2.2,2.2,0.7167,98.7,0.645
Dallas Mavericks,8,Daniel Gafford,Star,57,1226,12.3,6.8,1.4,0.4,1.8,1.2,0.5993,92.3,0.5393
Dallas Mavericks,9,Caleb Martin,Fringe,45,1218,7.9,3.9,2.1,1.0,0.5,1.2,0.3467,9.6,0.312
Dallas Mavericks,10,Jaden Hardy,Role Player,57,907,8.7,1.6,1.4,0.5,0.1,1.4,0.3984,30.1,0.3585
Denver Nuggets,1,Christian Braun,Role Player,79,2675,15.4,5.2,2.6,1.1,0.5,1.0,0.4173,38.9,0.3756
Denver Nuggets,2,Michael Porter Jr.,Role Player,77,2593,18.2,7.0,2.1,0.6,0.5,1.4,0.4629,54.4,0.4166
Denver Nuggets,3,Nikola Jokić,Superstar,70,2571,29.6,12.7,10.2,1.8,0.6,3.3,0.75,99.9,0.675
Denver Nuggets,4,Jamal Murray,Starter,67,2418,21.4,3.9,6.0,1.4,0.5,2.1,0.5174,73.9,0.4656
Denver Nuggets,5,Russell Westbrook,Starter,75,2092,13.3,4.9,6.1,1.4,0.5,3.2,0.5445,80.3,0.49
Denver Nuggets,6,Peyton Watson,Fringe,68,1656,8.1,3.4,1.4,0.7,1.4,0.8,0.3723,18.4,0.3351
Denver Nuggets,7,Aaron Gordon,Role Player,51,1447,14.7,4.8,3.2,0.5,0.3,1.4,0.4602,53.3,0.4142
Denver Nuggets,8,Julian Strawther,Fringe,65,1384,9.0,2.2,1.3,0.6,0.2,0.9,0.3482,9.9,0.3133
Denver Nuggets,9,DeAndre Jordan,Starter,56,691,3.7,5.1,0.9,0.3,0.5,0.7,0.5192,74.4,0.4673
Denver Nuggets,10,Jalen Pickett,Fringe,49,666,4.1,1.4,2.2,0.4,0.1,0.5,0.3824,23.2,0.3442
Detroit Pistons,1,Cade Cunningham,Star,70,2452,26.1,6.1,9.1,1.0,0.8,4.4,0.6736,98.1,0.6063
Detroit Pistons,2,Tobias Harris,Role Player,73,2305,13.7,5.9,2.2,1.0,0.8,1.2,0.4316,44.3,0.3885
Detroit Pistons,3,Malik Beasley,Role Player,82,2283,16.3,2.6,1.7,0.9,0.1,1.0,0.4088,33.6,0.3679
Detroit Pistons,4,Tim Hardaway Jr.,Fringe,77,2153,11.0,2.4,1.6,0.5,0.1,0.6,0.3125,3.5,0.2813
Detroit Pistons,5,Dennis Schröder,Role Player,75,2105,13.1,2.6,5.4,0.9,0.2,1.9,0.4589,52.3,0.413
Detroit Pistons,6,Jalen Duren,Star,78,2034,11.8,10.3,2.7,0.7,1.1,1.7,0.5987,91.7,0.5388
Detroit Pistons,7,Isaiah Stewart,Role Player,72,1434,6.0,5.5,1.7,0.4,1.4,0.9,0.4706,56.8,0.4236
Detroit Pistons,8,Ausar Thompson,Starter,59,1328,10.1,5.1,2.3,1.7,0.7,1.4,0.5192,74.7,0.4673
Detroit Pistons,9,Ronald Holland II,Fringe,81,1266,6.4,2.7,1.0,0.6,0.2,0.9,0.3952,28.5,0.3557
Detroit Pistons,10,Simone Fontecchio,Fringe,75,1237,5.9,2.9,0.9,0.4,0.2,0.7,0.3546,11.5,0.3192
Golden State Warriors,1,Stephen Curry,Star,70,2252,24.5,4.4,6.0,1.1,0.4,2.9,0.6099,93.9,0.5489
Golden State Warriors,2,Draymond Green,Starter,68,1983,9.0,6.1,5.6,1.5,1.0,2.6,0.4989,68.8,0.449
Golden State Warriors,3,Buddy Hield,Role Player,82,1863,11.1,3.2,1.6,0.8,0.3,1.1,0.4158,38.7,0.3742
Golden State Warriors,4,Jimmy Butler III,Starter,55,1746,17.5,5.4,5.4,1.4,0.3,1.3,0.5512,82.9,0.4961
Golden State Warriors,5,Brandin Podziemski,Role Player,64,1716,11.7,5.1,3.4,1.1,0.2,1.2,0.4719,57.6,0.4247
Golden State Warriors,6,Moses Moody,Fringe,74,1649,9.8,2.6,1.3,0.8,0.4,0.7,0.3766,20.3,0.3389
Golden State Warriors,7,Jonathan Kuminga,Starter,47,1144,15.3,4.6,2.2,0.8,0.4,1.5,0.5179,74.1,0.4661
Golden State Warriors,8,Kevon Looney,Starter,76,1142,4.5,6.1,1.6,0.6,0.5,0.5,0.5562,83.7,0.5006
Golden State Warriors,9,Trayce Jackson-Davis,Starter,62,967,6.6,5.0,1.7,0.4,0.6,0.7,0.5444,80.0,0.4899
Golden State Warriors,10,Gary Payton II,Role Player,62,927,6.5,3.0,1.3,0.8,0.3,0.6,0.4672,55.7,0.4205
Houston Rockets,1,Jalen Green,Starter,82,2697,21.0,4.6,3.4,0.9,0.3,2.5,0.4835,61.6,0.4352
Houston Rockets,2,Alperen Sengun,Star,76,2395,19.1,10.3,4.9,1.1,0.8,2.6,0.6511,96.8,0.586
